编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
388	思想道德修养与法律基础	思想道德与法律系		3	0	134	危薇	"7-16,7-16"	"?30102,50304"	"教一楼三区506,教一楼一区210"	必修	通识教育平台课程
389	思想道德修养与法律基础	思想道德与法律系		3	0	134	杨启梅	"7-16,7-16"	"?20304,40304"	"教一楼三区307,教一楼三区506"	必修	通识教育平台课程
390	思想道德修养与法律基础	思想道德与法律系		3	0	100	焦敏	"7-16,7-16"	"?40708,20304"	"教一楼三区104,教一楼一区404"	必修	通识教育平台课程
391	机械发展史	冶金机械教研室		0.5	0	100	侯宇	"10-11,8-9,10-11,8-9"	"?60102,60506,60102,60506"	"教一楼一区110,教一楼一区110,教一楼一区110,教一楼一区110"	必修	通识教育平台课程
392	思想道德修养与法律基础	思想道德与法律系		3	0	134	陈佳	"7-16,7-16"	"?10506,30708"	"教一楼三区406,教一楼三区406"	必修	通识教育平台课程
393	机械制图A(一)	工程图学教研室		3.5	0	84	姜繁智	"7-16,7-9,7-16"	"?40708,50304,50708"	"教一楼三区301,教一楼三区102,教一楼三区208"	必修	专业核心课程
394	会计学原理	专业经济教研室		3	0	52	王玉	"7-18,7-18"	"?10708,30506"	"教四楼一区110,教四楼一区110"	必修	学科基础平台课程
395	思想道德修养与法律基础	思想道德与法律系		3	0	100	陈珊秀	"7-16,7-16"	"?20708,40708"	"教一楼三区306,教一楼三区404"	必修	通识教育平台课程
396	思想道德修养与法律基础	思想道德与法律系		3	0	134	成曼丽	"7-16,7-16"	"?20506,50708"	"教一楼三区407,教一楼三区407"	必修	通识教育平台课程
397	思想道德修养与法律基础	思想道德与法律系		3	0	134	王群仿	"7-16,7-16"	"?30304,50304"	"教一楼三区507,教一楼一区110"	必修	通识教育平台课程
398	程序设计基础(一)	计算机科学教研室		3	0	84	王晓峰	"7-18,7-18"	"?10304,40708"	"教一楼三区102,教一楼一区403"	必修	学科基础平台课程
399	水工艺仪表与控制	给水排水教研室		1.5	76	14	樊杰	"5-10,5-10"	"?20506,50304"	"教三楼309（黄家湖）,教三楼309（黄家湖）"	选修	专业方向课程1
400	膜科学与技术	给水排水教研室		1.5	66	24	陈威	"5-10,5-10"	"?20304,40304"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	选修	专业任选课程
401	科技德语翻译	德语系		2	30	22	徐小清	1月16日	?20102	教四楼二区112	选修	专业方向课程1
402	岩土工程测试技术	结构教研室	土木工程方向3	2	12	78	李丹	"6-7,1-7,1-7"	"?50708,30506,10506"	"教三楼208（黄家湖）,教三楼208（黄家湖）,教三楼310（黄家湖）"	选修	专业任选课程
403	计算机程序设计基础(C)	计算机科学教研室		4	29	61	余志兵	"2-17,2-5"	"?50102,40304"	"教三楼411(黄家湖）,教三楼310（黄家湖）"	选修	学科基础平台课程
404	电路电子技术	信息科学与工程学院		4	83	51	柳利军	"1-12,1-12"	"?20304,50304"	"教一楼三区505,教二楼一区301"	选修	学科基础平台课程
405	旅游英语	外语系		2	88	2	续纪	1月16日	?30708	教四楼二区103	选修	专业任选课程
406	企业战略管理	工商管理系		3	57	43	佘斌	"7-18,7-18"	"?40506,20506"	"管理楼113,管理楼113"	选修	学科基础平台课程
407	中外翻译简史	翻译教研室		2	28	24	吴万伟	1月16日	?40708	教一楼二区106	选修	专业任选课程
408	经济法	市场营销系		3	44	96	林红珍	"1-8,1-8,1-8"	"?40304,20304,50304"	"教一楼三区504,教三楼404（黄家湖）,教四楼一区202"	选修	专业任选课程
409	公众救护	内科学教研室		1	82	18	刘效峰	"3-5,3-4"	"?30506,50506"	"教一楼一区104,教一楼一区104"	选修	专业任选课程
410	线性代数	信息与计算科学系		2	144	16	彭静	"1-8,1-8"	"?10102,50304"	"教一楼一区206,教一楼一区305"	选修	学科基础平台课程
411	数据库技术及应用	计算机科学教研室		3	36	104	廖建平	2月13日	?30102	教三楼304（黄家湖）	选修	学科基础平台课程
412	药学专业文献检索	药理学教研室		1	55	29	袁琼	8月11日	?40102	教一楼一区207	选修	专业任选课程
413	公共建筑设计原理	建筑学教研室		1.5	18	72	程唯	"1-6,1-6"	"?20304,40304"	"教三楼310（黄家湖）,教三楼109（黄家湖）"	选修	学科基础平台课程
414	大学物理B(二)	理学院		1.5	140	0	刘春梅	"1-6,1-6"	"?20102,40102"	"教一楼三区104,教一楼三区104"	必修	学科基础平台课程
415	概率论与数理统计	理学院		3	113	21	何晓霞	"7-18,7-18"	"?10102,30102"	"教一楼一区103,教一楼一区103"	必修	学科基础平台课程
416	电路分析基础（二）	电工电子基础课部		2.5	30	113	宋玉阶	"2-14,2,4,6,8,10,12,14"	"?20102,10506"	"教二楼二区101,教二楼一区201"	必修	学科基础平台课程
417	管理学原理	管理学院		2	34	50	任凤玲	"9-16,9-16"	"?10506,30102"	"管理楼102,管理楼101"	必修	学科基础平台课程
418	企业战略管理	工商管理系		3	49	39	梁小威	"7-18,7-18"	"?30102,10102"	"管理楼103,管理楼102"	必修	专业核心课程
419	民法学	法学教研室		7	65	25	梁东新	"1-14,1-14,1-14,1-14"	"?40304,10102,20304,50506"	"教四楼二区103,教四楼一区105,教四楼一区105,教四楼二区103"	必修	学科基础平台课程
420	大学物理B(二)	应用物理系		1.5	120	0	周怡	"1-6,1-6"	"?10506,50102"	"教一楼一区106,教一楼三区104"	必修	学科基础平台课程
421	MATLAB语言	电子信息工程系		2.5	39	45	郑庆庆	"5-10,5-10"	"?40506,20506"	"教一楼一区108,教一楼一区406"	必修	学科基础平台课程
422	JAVA程序设计	信息管理系		4	84	6	王静	"1-10,1-10"	"?20102,40102"	"教三楼308（黄家湖）,教三楼210（黄家湖）"	必修	专业核心课程
423	人体寄生虫学	人体寄生虫学教研室		3.5	56	28	"卫向红,谭苹"	"1-5,7-8,1-5,7-8,1-5,7-8,1-5,7-8"	"?30304,50506,30304,50506"	"教一楼一区107,教一楼一区107,教一楼一区107,教一楼一区107"	必修	学科基础平台课程
424	大学物理B(二)	应用物理系		1.5	121	0	季玲玲	"1-6,1-6"	"?10304,30304"	"教一楼一区301,教一楼一区401"	必修	学科基础平台课程
425	工程测量与地图	建筑学教研室		1.5	30	60	张从海	"1-6,1-6"	"?30506,10708"	"教三楼109（黄家湖）,教三楼109（黄家湖）"	必修	学科基础平台课程
426	公共管理学	行政管理教研室		2.5	29	55	卢珂	"1-10,1-10"	"?10102,50102"	"教一楼一区308,教一楼一区108"	必修	学科基础平台课程
427	政治学原理	行政管理教研室		3.5	61	29	邓泽宏	"2-12,7-12,2-12"	"?10304,30102,50304"	"教四楼一区103,教四楼一区103,教四楼一区103"	必修	学科基础平台课程
428	线性代数	理学院		2	131	9	张传洲	"2-9,2-9"	"?30506,10506"	"教一楼三区205,教一楼三区206"	必修	学科基础平台课程
429	会计学原理	财务会计系		3	63	71	陈群芳	"1-9,1-9,1-6"	"?50102,20304,10102"	"教一楼一区401,教一楼一区401,教一楼一区309"	必修	学科基础平台课程
430	线性代数	理学院		2	115	19	邹青洋	"1-8,1-8"	"?40304,10304"	"教一楼一区302,教一楼一区302"	必修	学科基础平台课程
431	建筑设计（I）	建筑学教研室		3	30	20	"龙燕,夏小棠"	"1-6,1-6,1-6,1-6"	"?205060708,405060708,205060708,405060708"	"教六楼二区106,教六楼二区106,教六楼二区106,教六楼二区106"	必修	学科基础平台课程
432	市场营销案例分析	管理学院		1	56	44	陈涛	7月14日	?30102	管理楼113	必修	专业核心课程
433	电工技术	电工电子基础课部		2	79	55	宋慧	1月12日	?10102	教一楼一区502	必修	学科基础平台课程
434	概率论与数理统计	信息与计算科学系		3	118	16	王志明	"7-18,7-18"	"?10708,30708"	"教一楼一区101,教一楼一区101"	必修	学科基础平台课程
435	机械制造基础	机械自动化学院		2	74	16	段现银	"1-8,1-8"	"?10102,30304"	"教三楼409（黄家湖）,教三楼409（黄家湖）"	必修	专业核心课程
436	英语听力A(三)	外语系		2	38	14	周红霞	1月16日	?40304	教四楼二区106	必修	学科基础平台课程
437	模拟电子技术	电子信息工程系		4	113	30	刘琼	"1-16,1-16"	"?50102,30304"	"教一楼三区307,教二楼一区201"	必修	学科基础平台课程
438	生物化学	生物化学教研室		6	65	19	"何丽娅,吴勉云"	"1-5,7-17,1-5,7-17,1-5,7-17,1-5,7-17"	"?40102,10304,40102,10304"	"教一楼一区108,教一楼一区108,教一楼一区108,教一楼一区108"	必修	学科基础平台课程
